,Id,lid,Output_Voucher_No,Output_Voucher_Date,Output_Item_Code,FG_Name,Output_Item_Name,Output_Batch_No,Output_Purity,Output_Recovery,Output_UOM,Output_Quantity,JobWork_Rate,JobWork_Value,Output_Rate,Output_Value,Consume_lid,Consume_Voucher_No,Consume_Voucher_Date,Consume_Item_Code,Consume_Item_Name,Consume_Batch_No,Consume_UOM,Consume_Quantity,Consume_Rate,Consume_Value
50,51,230723,SSM2324JWGRN00007,08/04/2023,26000008,"2,3 DI CHLORO PYRIDINE","2,3 DCP CRUDE",#01+02+04/24,0,0,KGS,1560.0,50.0,78000.0,520.13,811408.68,,,,,,,,,,
51,52,217207,,,,"2,3 DI CHLORO PYRIDINE",,,,,,,,,,,230723.0,SSM2324JWGRN00007,2023-04-08,26000009,"2,3 DCP IIND CROP",23DDCPY1110061,KGS,1460.0,11.38,6928.84
52,53,217207,,,,"2,3 DI CHLORO PYRIDINE",,,,,,,,,,,230723.0,SSM2324JWGRN00007,2023-04-08,26000009,"2,3 DCP IIND CROP",23DDCPY1110062,KGS,3340.0,4.82,16106.11
53,54,217207,,,,"2,3 DI CHLORO PYRIDINE",,,,,,,,,,,230723.0,SSM2324JWGRN00007,2023-04-08,26000009,"2,3 DCP IIND CROP",23DDCPY1110063,KGS,300.0,23.91,7171.6
54,55,217207,,,,"2,3 DI CHLORO PYRIDINE",,,,,,,,,,,230723.0,SSM2324JWGRN00007,2023-04-08,26000009,"2,3 DCP IIND CROP",23DDCPY1110064,KGS,300.0,17.99,5396.26
55,56,217207,,,,"2,3 DI CHLORO PYRIDINE",,,,,,,,,,,230723.0,SSM2324JWGRN00007,2023-04-08,26000009,"2,3 DCP IIND CROP",23DDCPY1110065,KGS,300.0,17.45,5235.71
56,57,217207,,,,"2,3 DI CHLORO PYRIDINE",,,,,,,,,,,230723.0,SSM2324JWGRN00007,2023-04-08,26000009,"2,3 DCP IIND CROP",23DDCPY1110066,KGS,300.0,17.42,5224.76
57,58,222372,,,,"2,3 DI CHLORO PYRIDINE",,,,,,,,,,,230723.0,SSM2324JWGRN00007,2023-04-08,26000009,"2,3 DCP IIND CROP",23DDCPY1110059,KGS,392.5,6.68,2623.02
58,59,222372,,,,"2,3 DI CHLORO PYRIDINE",,,,,,,,,,,230723.0,SSM2324JWGRN00007,2023-04-08,26000009,"2,3 DCP IIND CROP",23DDCPY1110062,KGS,4.0,4.82,19.29
59,60,222372,,,,"2,3 DI CHLORO PYRIDINE",,,,,,,,,,,230723.0,SSM2324JWGRN00007,2023-04-08,26000009,"2,3 DCP IIND CROP",23DDCPY1110068,KGS,100.0,21.56,2155.62
60,61,222372,,,,"2,3 DI CHLORO PYRIDINE",,,,,,,,,,,230723.0,SSM2324JWGRN00007,2023-04-08,26000009,"2,3 DCP IIND CROP",23DDCPY1110071,KGS,300.0,62.35,18703.36
61,62,222372,,,,"2,3 DI CHLORO PYRIDINE",,,,,,,,,,,230723.0,SSM2324JWGRN00007,2023-04-08,26000009,"2,3 DCP IIND CROP",23DDCPY1110072,KGS,100.0,182.87,18286.91
62,63,222372,,,,"2,3 DI CHLORO PYRIDINE",,,,,,,,,,,230723.0,SSM2324JWGRN00007,2023-04-08,26000009,"2,3 DCP IIND CROP",23DDCPY1110074,KGS,300.0,69.71,20912.34
63,64,222372,,,,"2,3 DI CHLORO PYRIDINE",,,,,,,,,,,230723.0,SSM2324JWGRN00007,2023-04-08,26000009,"2,3 DCP IIND CROP",23DDCPY1110075,KGS,160.0,128.3,20527.72
64,65,222372,,,,"2,3 DI CHLORO PYRIDINE",,,,,,,,,,,230723.0,SSM2324JWGRN00007,2023-04-08,26000009,"2,3 DCP IIND CROP",23DDCPY1110078,KGS,200.0,117.26,23451.12
65,66,222372,,,,"2,3 DI CHLORO PYRIDINE",,,,,,,,,,,230723.0,SSM2324JWGRN00007,2023-04-08,26000009,"2,3 DCP IIND CROP",23DDCPY1110079,KGS,300.0,64.07,19221.48
66,67,222372,,,,"2,3 DI CHLORO PYRIDINE",,,,,,,,,,,230723.0,SSM2324JWGRN00007,2023-04-08,26000009,"2,3 DCP IIND CROP",23DDCPY1110080,KGS,273.5,73.13,18233.33
67,68,15865,SSM2223JWGRN00008,26/04/2022,26000083,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,4-FTMP CRUDE,#008/22,,,KGS,776.0,161.0,124936.0,2313.88,1795569.67,,,,,,,,,,
68,69,5912,,,,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,,,,,,,,,,,15865.0,SSM2223JWGRN00008,2022-04-26,26000086,4-FTMP RECOVERED TOLUENE,,KGS,100.0,31.5,500.0
69,70,231886,SSM2324JWGRN00008,10/04/2023,31000009,"2,6 DIMETHOXY BENZOIC ACID","2,6 DIMETHOXY BENZOIC ACID",#62+01/23,0,0,KGS,1800.0,335.0,603000.0,2461.93,4431476.0,,,,,,,,,,
70,71,211481,,,,"2,6 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,231886.0,SSM2324JWGRN00008,2023-04-10,26000165,"2,6 DCBN (STAGE-I) ACETIC ACID ML",23BDMBA1010034,KGS,208.0,9.38,1040.0
71,72,211481,,,,"2,6 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,231886.0,SSM2324JWGRN00008,2023-04-10,26000165,"2,6 DCBN (STAGE-I) ACETIC ACID ML",23BDMBA1010034,KGS,460.0,5.0,2300.0
72,73,196129,,,,"2,6 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,231886.0,SSM2324JWGRN00008,2023-04-10,26000166,"2,6 DCBN (STAGE-I) RECOVERED ACETIC ACID",23BDMBA1180001,KGS,447.0,67.11,2655.45
73,74,196129,,,,"2,6 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,231886.0,SSM2324JWGRN00008,2023-04-10,26000166,"2,6 DCBN (STAGE-I) RECOVERED ACETIC ACID",23BDMBA1180002,KGS,3760.0,5.13,19282.05
74,75,207085,,,,"2,6 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,231886.0,SSM2324JWGRN00008,2023-04-10,26000166,"2,6 DCBN (STAGE-I) RECOVERED ACETIC ACID",23BDMBA1010032,KGS,481.0,7.8,2405.0
75,76,448111,SSM2425JWGRN00008,07/04/2024,26000029,"2,4 DICHLORO BENZOYL CHLORIDE","2,4 DCBC CRUDE",#02/24,0,0,KGS,6670.0,0.0,0.0,109.43,729915.56,,,,,,,,,,
76,77,443186,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,448111.0,SSM2425JWGRN00008,2024-04-07,26000028,"RECOVERED 2,4 DCT",24BDCBL1020021,KGS,1210.0,171.93,143515.5
77,78,443186,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,448111.0,SSM2425JWGRN00008,2024-04-07,26000028,"RECOVERED 2,4 DCT",24CDCBL1020004,KGS,58.0,111.07,6441.75
78,79,443186,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,448111.0,SSM2425JWGRN00008,2024-04-07,26000028,"RECOVERED 2,4 DCT",24CDCBL1020003,KGS,365.0,134.01,48913.01
79,80,443186,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,448111.0,SSM2425JWGRN00008,2024-04-07,26000028,"RECOVERED 2,4 DCT",24EDCBL1040008,KGS,331.0,118.61,39260.54
80,81,445634,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,448111.0,SSM2425JWGRN00008,2024-04-07,26000028,"RECOVERED 2,4 DCT",24CDCBL1020005,KGS,2223.0,232.99,258905.23
81,82,15881,SSM2223JWGRN00009,26/04/2022,26000083,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,4-FTMP CRUDE,#009+010/22,,,KGS,120.0,161.0,19320.0,23499.66,2819959.33,,,,,,,,,,
82,83,15881,SSM2223JWGRN00009,26/04/2022,26000083,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,4-FTMP CRUDE,#009+010/22,,,KGS,826.0,161.0,132986.0,815.51,673614.0,,,,,,,,,,
83,84,5912,,,,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,,,,,,,,,,,15881.0,SSM2223JWGRN00009,2022-04-26,26000086,4-FTMP RECOVERED TOLUENE,,KGS,73.0,41.1,365.0
84,85,5912,,,,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,,,,,,,,,,,15881.0,SSM2223JWGRN00009,2022-04-26,26000086,4-FTMP RECOVERED TOLUENE,,KGS,127.0,24.8,635.0
85,86,232670,SSM2324JWGRN00009,03/04/2023,26000083,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,4-FTMP CRUDE,#121+122/23,0,0,KGS,1296.0,180.81,234329.76,1510.58,1957714.4,,,,,,,,,,
86,87,448855,SSM2425JWGRN00009,09/04/2024,26000029,"2,4 DICHLORO BENZOYL CHLORIDE","2,4 DCBC CRUDE",#03/24,0,0,KGS,7015.0,0.0,0.0,106.8,749188.64,,,,,,,,,,
87,88,445634,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,448855.0,SSM2425JWGRN00009,2024-04-09,26000028,"RECOVERED 2,4 DCT",24CDCBL1020005,KGS,2224.0,232.88,259021.7
88,89,445634,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,448855.0,SSM2425JWGRN00009,2024-04-09,26000028,"RECOVERED 2,4 DCT",24BDCBL1020021,KGS,23.0,118.61,2727.98
89,90,447343,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,448855.0,SSM2425JWGRN00009,2024-04-09,26000028,"RECOVERED 2,4 DCT",24BDCBL1020022,KGS,1343.0,118.61,159293.84
90,91,447343,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,448855.0,SSM2425JWGRN00009,2024-04-09,26000028,"RECOVERED 2,4 DCT",25CDCBL1020001,KGS,2660.0,208.51,309815.13
91,92,15890,SSM2223JWGRN00010,26/04/2022,26000083,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,4-FTMP CRUDE,#011+12/22,,,KGS,1530.0,161.0,246330.0,2344.83,3587597.33,,,,,,,,,,
92,93,5912,,,,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,,,,,,,,,,,15890.0,SSM2223JWGRN00010,2022-04-26,26000086,4-FTMP RECOVERED TOLUENE,,KGS,200.0,15.75,1000.0
93,94,232732,SSM2324JWGRN00010,05/04/2023,26000083,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,4-FTMP CRUDE,#123/23+01/24,0,0,KGS,925.0,180.81,167249.25,2043.93,1890633.89,,,,,,,,,,
94,95,450369,SSM2425JWGRN00010,12/04/2024,31000043,"2,4 DICHLORO BENZALDEHYDE","2,4 DICHLORO BENZALDEHYDE",#35+(1RP&2RP)/23,0,0,KGS,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
95,96,450369,SSM2425JWGRN00010,12/04/2024,31000043,"2,4 DICHLORO BENZALDEHYDE","2,4 DICHLORO BENZALDEHYDE",#35+(1RP&2RP)/23,0,0,KGS,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
96,97,450369,SSM2425JWGRN00010,12/04/2024,31000043,"2,4 DICHLORO BENZALDEHYDE","2,4 DICHLORO BENZALDEHYDE",#35+(1RP&2RP)/23,0,0,KGS,1400.0,0.0,0.0,1118.11,1565353.92,,,,,,,,,,
97,98,450369,SSM2425JWGRN00010,12/04/2024,31000043,"2,4 DICHLORO BENZALDEHYDE","2,4 DICHLORO BENZALDEHYDE",#35+(1RP&2RP)/23,0,0,KGS,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
98,99,311734,,,,"2,4 DICHLORO BENZALDEHYDE",,,,,,,,,,,450369.0,SSM2425JWGRN00010,2024-04-12,26000220,"2,4 DICHLORO BENZALDEHYDE WET CAKE",#09/23,KGS,1005.0,549.98,529043.15
99,100,390720,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,450369.0,SSM2425JWGRN00010,2024-04-12,29000007,"2,4 DCBC INTERCUT-1",24BDCBL1020003,KGS,213.0,2079.89,62699.41
100,101,390720,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,450369.0,SSM2425JWGRN00010,2024-04-12,29000007,"2,4 DCBC INTERCUT-1",24BDCBL1020004,KGS,1104.0,301.42,332764.26
101,102,390720,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,450369.0,SSM2425JWGRN00010,2024-04-12,29000007,"2,4 DCBC INTERCUT-1",24BDCBL1020004,KGS,193.0,301.42,58173.46
102,103,390720,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,450369.0,SSM2425JWGRN00010,2024-04-12,29000007,"2,4 DCBC INTERCUT-1",24BDCBL1020004,KGS,133.0,301.42,40088.45
103,104,390720,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,450369.0,SSM2425JWGRN00010,2024-04-12,29000008,"2,4 DCBC INTERCUT-2",BTO-S/21/0015,KGS,254.0,269.33,14516.1
104,105,390720,,,,"2,4 DICHLORO BENZOYL CHLORIDE",,,,,,,,,,,450369.0,SSM2425JWGRN00010,2024-04-12,29000008,"2,4 DCBC INTERCUT-2",24BDCBL1020004,KGS,945.0,180.34,170416.48
105,106,15912,SSM2223JWGRN00011,26/04/2022,28000026,3-BROMO-1-(3-CHLOROPYRIDINE-2-YL)-1H-PYRAZOLE-5-CARBOXYLIC ACID,BCPA SFG,#002/22,,,KGS,77.5,10.0,775.0,12943.5,1003121.49,,,,,,,,,,
106,107,14625,,,,3-BROMO-1-(3-CHLOROPYRIDINE-2-YL)-1H-PYRAZOLE-5-CARBOXYLIC ACID,,,,,,,,,,,15912.0,SSM2223JWGRN00011,2022-04-26,26000190,BCPA (WET POWDER),,KGS,98.0,10228.03,1002346.49
107,108,232744,SSM2324JWGRN00011,07/04/2023,26000083,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,4-FTMP CRUDE,#02+03/24,0,0,KGS,1075.0,180.81,194370.75,1783.96,1917755.39,,,,,,,,,,
108,109,450942,SSM2425JWGRN00011,13/04/2024,26000046,"2,6 DICHLORO BENZOYL CHLORIDE","2,6 DCBC CRUDE",#02/24,0,0,KGS,7275.0,0.0,0.0,481.26,3501185.0,,,,,,,,,,
109,110,450942,SSM2425JWGRN00011,13/04/2024,26000046,"2,6 DICHLORO BENZOYL CHLORIDE","2,6 DCBC CRUDE",#02/24,0,0,KGS,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
110,111,23146,SSM2223JWGRN00012,07/05/2022,28000026,3-BROMO-1-(3-CHLOROPYRIDINE-2-YL)-1H-PYRAZOLE-5-CARBOXYLIC ACID,BCPA SFG,#003/22,,,KGS,76.0,10.0,760.0,10627.35,807678.77,,,,,,,,,,
111,112,21251,,,,3-BROMO-1-(3-CHLOROPYRIDINE-2-YL)-1H-PYRAZOLE-5-CARBOXYLIC ACID,,,,,,,,,,,23146.0,SSM2223JWGRN00012,2022-05-07,26000190,BCPA (WET POWDER),,KGS,94.0,8584.24,806918.77
112,113,232805,SSM2324JWGRN00012,10/04/2023,26000083,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,4-FTMP CRUDE,#04+05+06+07/24,0,0,KGS,2190.0,180.81,395973.9,1759.22,3852688.4,,,,,,,,,,
113,114,24589,SSM2223JWGRN00013,29/04/2022,26000083,4-FLUORO-3-TRIFLUOROMETHYL PHENOL,4-FTMP CRUDE,#13+14/22,,,KGS,1693.0,161.0,272573.0,2073.84,3511004.37,,,,,,,,,,
